%     Depth;Temperature_;TC_m;RHOC_m;PHI;    RHOB;TC_m_min;TC_m_max;RHOC_m_miD;RHOC_m_max;    TC.log;      RHOC.log;       RHP;;
%         m;          °C;W/(mK);kJ/(m³K);n/n;g/cm³;    W/(mK);    W/(mK);kJ/(m³K);kJ/(m³K);    W/(mK);   kJ/(m³K);     µW/m³;;
0;;3.258;2.003;0.300;2.197;2.769;3.747;1.703;2.303;1.965;2.647;0.0435;;
0.5;;3.258;2.003;0.300;2.197;2.769;3.747;1.703;2.303;1.965;2.647;0.0435;;
1;;3.258;2.003;0.300;2.197;2.769;3.747;1.703;2.303;1.965;2.647;0.0435;;
1.5;;3.258;2.003;0.300;2.197;2.769;3.747;1.703;2.303;1.965;2.647;0.0435;;
2;;3.258;2.003;0.300;2.197;2.769;3.747;1.703;2.303;1.965;2.647;0.0435;;
2.5;;3.258;2.003;0.300;2.197;2.769;3.747;1.703;2.303;1.965;2.647;0.0435;;
3;;3.258;2.003;0.300;2.197;2.769;3.747;1.703;2.303;1.965;2.647;0.0435;;
3.5;;3.258;2.003;0.300;2.197;2.769;3.747;1.703;2.303;1.965;2.647;0.0541285;;
4;;3.258;2.003;0.300;2.197;2.769;3.747;1.703;2.303;1.965;2.647;0.0541285;;
4.5;;3.258;2.003;0.300;2.197;2.769;3.747;1.703;2.303;1.965;2.647;0.234943;;
5;;3.258;2.003;0.300;2.197;2.769;3.747;1.703;2.303;1.965;2.647;0.1460585;;
5.5;;3.258;2.003;0.300;2.197;2.769;3.747;1.703;2.303;1.965;2.647;0.15973269;;
6;;3.258;2.003;0.300;2.197;2.769;3.747;1.703;2.303;1.965;2.647;0.172900738;;
6.5;;3.258;2.003;0.300;2.197;2.769;3.747;1.703;2.303;1.965;2.647;0.186574929;;
7;;3.258;2.003;0.300;2.197;2.769;3.747;1.703;2.303;1.965;2.647;0.201768833;;
7.5;;3.258;2.003;0.300;2.197;2.769;3.747;1.703;2.303;1.965;2.647;0.217216167;;
8;;3.258;2.003;0.300;2.197;2.769;3.747;1.703;2.303;1.965;2.647;0.234435929;;
8.5;;3.258;2.003;0.300;2.197;2.769;3.747;1.703;2.303;1.965;2.647;0.252668643;;
9;;3.258;2.003;0.300;2.197;2.769;3.747;1.703;2.303;1.965;2.647;0.268622762;;
9.5;;3.258;2.003;0.300;2.197;2.769;3.747;1.703;2.303;1.965;2.647;0.284829643;;
10;;3.258;2.003;0.300;2.197;2.769;3.747;1.703;2.303;1.965;2.647;0.291920167;;
10.5;;3.258;2.003;0.300;2.197;2.769;3.747;1.703;2.303;1.965;2.647;0.296857786;;
11;;3.258;2.003;0.300;2.197;2.769;3.747;1.703;2.303;1.965;2.647;0.312811214;;
11.5;;3.258;2.003;0.300;2.197;2.769;3.747;1.703;2.303;1.965;2.647;0.329777571;;
12;;3.258;2.003;0.300;2.197;2.769;3.747;1.703;2.303;1.965;2.647;0.341806333;;
12.5;;3.258;2.003;0.300;2.197;2.769;3.747;1.703;2.303;1.965;2.647;0.348643381;;
13;;3.258;2.003;0.300;2.197;2.769;3.747;1.703;2.303;1.965;2.647;0.35421481;;
13.5;;3.258;2.003;0.300;2.197;2.769;3.747;1.703;2.303;1.965;2.647;0.360292381;;
14;;3.258;2.003;0.300;2.197;2.769;3.747;1.703;2.303;1.965;2.647;0.368268714;;
14.5;;3.258;2.003;0.300;2.197;2.769;3.747;1.703;2.303;1.965;2.647;0.37510581;;
15;;3.258;2.003;0.300;2.197;2.769;3.747;1.703;2.303;1.965;2.647;0.375865333;;
15.5;;3.258;2.003;0.300;2.197;2.769;3.747;1.703;2.303;1.965;2.647;0.372826571;;
16;;3.258;2.003;0.300;2.197;2.769;3.747;1.703;2.303;1.965;2.647;0.370168238;;
16.5;;3.258;2.003;0.300;2.197;2.769;3.747;1.703;2.303;1.965;2.647;0.36725581;;
17;;3.258;2.003;0.300;2.197;2.769;3.747;1.703;2.303;1.965;2.647;0.363964333;;
17.5;;3.258;2.003;0.300;2.197;2.769;3.747;1.703;2.303;1.965;2.647;0.358773333;;
18;;3.258;2.003;0.300;2.197;2.769;3.747;1.703;2.303;1.965;2.647;0.353201905;;
18.5;;3.258;2.003;0.300;2.197;2.769;3.747;1.703;2.303;1.965;2.647;0.345731667;;
19;;3.258;2.003;0.300;2.197;2.769;3.747;1.703;2.303;1.965;2.647;0.337754571;;
19.5;;3.258;2.003;0.300;2.197;2.769;3.747;1.703;2.303;1.965;2.647;0.331677048;;
20;;3.258;2.003;0.300;2.197;2.769;3.747;1.703;2.303;1.965;2.647;0.324839952;;
20.5;;3.258;2.003;0.300;2.197;2.769;3.747;1.703;2.303;1.965;2.647;0.319521905;;
21;;3.258;2.003;0.300;2.197;2.769;3.747;1.703;2.303;1.965;2.647;0.314710667;;
21.5;;3.258;2.003;0.300;2.197;2.769;3.747;1.703;2.303;1.965;2.647;0.309646048;;
22;;3.258;2.003;0.300;2.197;2.769;3.747;1.703;2.303;1.965;2.647;0.304581429;;
22.5;;3.258;2.003;0.300;2.197;2.769;3.747;1.703;2.303;1.965;2.647;0.301542619;;
23;;3.258;2.003;0.300;2.197;2.769;3.747;1.703;2.303;1.965;2.647;0.296604381;;
23.5;;3.258;2.003;0.300;2.197;2.769;3.747;1.703;2.303;1.965;2.647;0.291539762;;
24;;3.258;2.003;0.300;2.197;2.769;3.747;1.703;2.303;1.965;2.647;0.287488048;;
24.5;;3.258;2.003;0.300;2.197;2.769;3.747;1.703;2.303;1.965;2.647;0.282423429;;
25;;3.258;2.003;0.300;2.197;2.769;3.747;1.703;2.303;1.965;2.647;0.278371714;;
25.5;;3.258;2.003;0.300;2.197;2.769;3.747;1.703;2.303;1.965;2.647;0.277992;;
26;;3.258;2.003;0.300;2.197;2.769;3.747;1.703;2.303;1.965;2.647;0.279511;;
26.5;;3.258;2.003;0.300;2.197;2.769;3.747;1.703;2.303;1.965;2.647;0.281156381;;
27;;3.258;2.003;0.300;2.197;2.769;3.747;1.703;2.303;1.965;2.647;0.283815429;;
27.5;;3.258;2.003;0.300;2.197;2.769;3.747;1.703;2.303;1.965;2.647;0.285714238;;
28;;3.258;2.003;0.300;2.197;2.769;3.747;1.703;2.303;1.965;2.647;0.287613048;;
28.5;;3.258;2.003;0.300;2.197;2.769;3.747;1.703;2.303;1.965;2.647;0.289892286;;
29;;3.258;2.003;0.300;2.197;2.769;3.747;1.703;2.303;1.965;2.647;0.29331081;;
29.5;;3.258;2.003;0.300;2.197;2.769;3.747;1.703;2.303;1.965;2.647;0.296223238;;
30;;3.258;2.003;0.300;2.197;2.769;3.747;1.703;2.303;1.965;2.647;0.300021524;;
30.5;;3.258;2.003;0.300;2.197;2.769;3.747;1.703;2.303;1.965;2.647;0.30495981;;
31;;3.258;2.003;0.300;2.197;2.769;3.747;1.703;2.303;1.965;2.647;0.307112714;;
31.5;;3.258;2.003;0.300;2.197;2.769;3.747;1.703;2.303;1.965;2.647;0.309645381;;
32;;3.258;2.014;0.300;2.197;2.769;3.747;1.712;2.316;1.965;2.647;0.311038048;;
32.5;;3.258;2.028;0.300;2.197;2.769;3.747;1.723;2.332;1.965;2.647;0.312050952;;
33;;3.258;2.040;0.300;2.197;2.769;3.747;1.734;2.346;1.965;2.647;0.311797571;;
33.5;;3.258;2.053;0.300;2.197;2.769;3.747;1.745;2.361;1.965;2.647;0.312177286;;
34;;3.258;2.067;0.300;2.197;2.769;3.747;1.757;2.377;1.965;2.647;0.31319019;;
34.5;;3.258;2.080;0.300;2.197;2.769;3.747;1.768;2.392;1.965;2.647;0.313696286;;
35;;3.258;2.093;0.300;2.197;2.769;3.747;1.779;2.407;1.965;2.647;0.314962619;;
35.5;;3.258;2.107;0.300;2.197;2.769;3.747;1.791;2.423;1.965;2.647;0.314962619;;
36;;3.258;2.123;0.300;2.197;2.769;3.747;1.804;2.441;1.965;2.647;0.315088952;;
36.5;;3.258;2.139;0.300;2.197;2.769;3.747;1.818;2.460;1.965;2.647;0.315595762;;
37;;3.258;2.155;0.300;2.197;2.769;3.747;1.832;2.479;1.965;2.807;0.315595762;;
37.5;;3.258;2.172;0.300;2.197;2.769;3.747;1.846;2.498;1.965;2.848;0.315342333;;
38;;3.258;2.188;0.300;2.197;2.769;3.747;1.860;2.517;1.965;2.829;0.315215952;;
38.5;;3.258;2.204;0.300;2.197;2.769;3.747;1.874;2.535;1.965;2.841;0.31724181;;
39;;3.258;2.220;0.300;2.197;2.769;3.747;1.887;2.553;1.965;2.846;0.319521048;;
39.5;;3.258;2.236;0.300;2.197;2.769;3.747;1.900;2.571;1.965;2.842;0.32116719;;
40;;3.258;2.251;0.300;2.197;2.769;3.747;1.914;2.589;1.965;2.840;0.323193048;;
40.5;;3.258;2.268;0.300;2.197;2.769;3.747;1.928;2.608;1.965;2.854;0.323193048;;
41;;3.258;2.285;0.300;2.197;2.769;3.747;1.942;2.627;1.965;2.875;0.321673286;;
41.5;;3.258;2.301;0.300;2.197;2.769;3.747;1.956;2.647;1.965;2.884;0.321546238;;
42;;3.260;2.318;0.300;2.196;2.771;3.749;1.970;2.665;1.965;2.891;0.320279905;;
42.5;;3.276;2.322;0.301;2.196;2.784;3.767;1.974;2.671;1.965;2.890;0.31977381;;
43;;3.289;2.323;0.301;2.195;2.796;3.783;1.975;2.672;1.965;2.893;0.318634524;;
43.5;;3.291;2.325;0.301;2.195;2.797;3.785;1.976;2.674;1.965;2.884;0.317621571;;
44;;3.294;2.325;0.302;2.194;2.800;3.788;1.976;2.674;1.965;2.884;0.317748667;;
44.5;;3.297;2.324;0.302;2.194;2.802;3.791;1.975;2.672;1.965;2.877;0.317241857;;
45;;3.301;2.322;0.302;2.193;2.806;3.797;1.974;2.670;1.965;2.880;0.316609381;;
45.5;;3.303;2.319;0.302;2.193;2.807;3.798;1.971;2.667;1.965;2.895;0.31686281;;
46;;3.312;2.315;0.303;2.192;2.815;3.809;1.968;2.662;1.965;2.899;0.317496;;
46.5;;3.320;2.308;0.303;2.192;2.822;3.818;1.962;2.655;1.965;2.898;0.317496;;
47;;3.316;2.301;0.303;2.191;2.818;3.813;1.956;2.646;1.965;2.892;0.318508952;;
47.5;;3.310;2.293;0.304;2.191;2.814;3.807;1.949;2.637;2.076;2.883;0.320155095;;
48;;3.308;2.285;0.304;2.190;2.812;3.804;1.942;2.627;2.062;2.869;0.320661905;;
48.5;;3.320;2.276;0.304;2.190;2.822;3.818;1.935;2.617;1.959;2.862;0.320788286;;
49;;3.324;2.268;0.305;2.189;2.825;3.823;1.927;2.608;1.970;2.850;0.318382667;;
49.5;;3.332;2.259;0.305;2.189;2.832;3.832;1.920;2.598;1.968;2.835;0.316103429;;
50;;3.331;2.251;0.305;2.188;2.831;3.830;1.913;2.589;1.982;2.825;0.313444381;;
50.5;;3.335;2.243;0.305;2.188;2.834;3.835;1.906;2.579;1.956;2.812;0.311418524;;
51;;3.346;2.234;0.305;2.188;2.844;3.848;1.899;2.569;2.023;2.801;0.311038762;;
51.5;;3.357;2.224;0.305;2.188;2.853;3.860;1.891;2.558;2.012;2.791;0.311671905;;
52;;3.357;2.216;0.305;2.188;2.854;3.861;1.883;2.548;1.908;2.785;0.312938238;;
52.5;;3.362;2.207;0.305;2.188;2.858;3.866;1.876;2.538;1.895;2.783;0.313191667;;
53;;3.350;2.199;0.305;2.189;2.848;3.853;1.870;2.529;1.928;2.775;0.313191667;;
53.5;;3.333;2.193;0.305;2.189;2.833;3.833;1.864;2.522;2.042;2.773;0.312811238;;
54;;3.328;2.186;0.303;2.191;2.828;3.827;1.858;2.514;1.982;2.766;0.313064667;;
54.5;;3.328;2.181;0.302;2.193;2.829;3.827;1.854;2.508;2.015;2.761;0.313950524;;
55;;3.318;2.176;0.301;2.195;2.820;3.816;1.850;2.503;1.932;2.757;0.315216857;;
55.5;;3.328;2.173;0.300;2.197;2.829;3.828;1.847;2.498;1.976;2.755;0.315343238;;
56;;3.333;2.170;0.299;2.199;2.833;3.833;1.844;2.495;2.065;2.753;0.31508981;;
56.5;;3.323;2.168;0.298;2.201;2.824;3.821;1.843;2.493;2.061;2.757;0.315975667;;
57;;3.320;2.167;0.297;2.203;2.822;3.818;1.842;2.491;1.970;2.759;0.31508981;;
57.5;;3.333;2.165;0.296;2.205;2.833;3.833;1.840;2.490;2.028;2.753;0.314330286;;
58;;3.354;2.164;0.294;2.206;2.851;3.857;1.839;2.488;1.996;2.750;0.313950476;;
58.5;;3.354;2.162;0.293;2.208;2.851;3.857;1.838;2.486;1.932;2.749;0.31471;;
59;;3.350;2.160;0.292;2.210;2.847;3.852;1.836;2.484;1.990;2.747;0.317496048;;
59.5;;3.343;2.159;0.291;2.212;2.841;3.844;1.835;2.482;2.054;2.741;0.319901667;;
60;;3.338;2.156;0.290;2.214;2.837;3.839;1.833;2.480;1.956;2.739;0.321927524;;
60.5;;3.353;2.154;0.289;2.216;2.850;3.856;1.831;2.477;2.158;2.740;0.322687048;;
61;;3.365;2.151;0.288;2.217;2.860;3.870;1.828;2.473;2.075;2.739;0.323446571;;
61.5;;3.350;2.147;0.288;2.218;2.848;3.853;1.825;2.469;2.015;2.737;0.323826333;;
62;;3.355;2.141;0.288;2.218;2.852;3.858;1.820;2.463;2.070;2.735;0.324079762;;
62.5;;3.369;2.136;0.287;2.219;2.864;3.874;1.815;2.456;2.106;2.728;0.322307333;;
63;;3.361;2.130;0.287;2.219;2.857;3.866;1.810;2.449;2.165;2.724;0.323826333;;
63.5;;3.372;2.123;0.287;2.220;2.866;3.878;1.805;2.442;2.004;2.715;0.324965619;;
64;;3.386;2.117;0.286;2.220;2.878;3.894;1.799;2.434;2.088;2.714;0.326485333;;
64.5;;3.397;2.110;0.287;2.219;2.887;3.906;1.794;2.427;1.998;2.707;0.328257762;;
65;;3.392;2.104;0.287;2.219;2.883;3.901;1.788;2.419;2.057;2.700;0.327878;;
65.5;;3.409;2.097;0.288;2.218;2.898;3.921;1.782;2.411;2.150;2.696;0.326865095;;
66;;3.408;2.088;0.288;2.217;2.897;3.920;1.775;2.402;2.126;2.680;0.328637524;;
66.5;;3.417;2.079;0.289;2.216;2.905;3.930;1.768;2.391;1.956;2.673;0.330916762;;
67;;3.429;2.070;0.289;2.215;2.914;3.943;1.759;2.380;2.126;2.663;0.332436476;;
67.5;;3.428;2.060;0.290;2.214;2.913;3.942;1.751;2.369;2.118;2.658;0.334842048;;
68;;3.416;2.049;0.290;2.213;2.904;3.929;1.742;2.357;1.982;2.653;0.335348143;;
68.5;;3.408;2.038;0.291;2.213;2.897;3.919;1.732;2.344;2.115;2.649;0.334335238;;
69;;3.417;2.026;0.291;2.212;2.904;3.929;1.722;2.330;2.075;2.647;0.332309381;;
69.5;;3.420;2.014;0.292;2.211;2.907;3.933;1.712;2.316;2.054;2.651;0.329903048;;
70;;3.418;2.001;0.292;2.211;2.906;3.931;1.701;2.302;1.974;2.646;0.329143524;;
70.5;;3.415;1.989;0.292;2.211;2.903;3.927;1.690;2.287;2.081;2.633;0.32787719;;
71;;3.413;1.976;0.292;2.211;2.901;3.925;1.679;2.272;2.109;2.623;0.329903048;;
71.5;;3.396;1.963;0.291;2.212;2.886;3.905;1.669;2.258;2.117;2.614;0.329903048;;
72;;3.414;1.951;0.291;2.213;2.902;3.927;1.658;2.243;2.082;2.602;0.329523286;;
72.5;;3.392;1.938;0.290;2.213;2.883;3.901;1.647;2.229;2.024;2.589;0.329523286;;
73;;3.369;1.926;0.290;2.215;2.864;3.875;1.637;2.214;1.966;2.575;0.331928905;;
73.5;;3.365;1.913;0.289;2.216;2.860;3.870;1.626;2.200;2.049;2.561;0.333195238;;
74;;3.349;1.900;0.288;2.218;2.847;3.852;1.615;2.185;2.050;2.540;0.333702048;;
74.5;;3.351;1.886;0.287;2.219;2.849;3.854;1.603;2.169;2.080;2.530;0.334715;;
75;;3.345;1.873;0.284;2.224;2.844;3.847;1.592;2.153;1.984;2.514;0.335601619;;
75.5;;3.362;1.859;0.282;2.228;2.857;3.866;1.580;2.138;2.023;2.497;0.335981381;;
76;;3.349;1.845;0.279;2.233;2.846;3.851;1.568;2.122;2.134;2.482;0.335981381;;
76.5;;3.331;1.832;0.276;2.237;2.832;3.831;1.557;2.106;2.006;2.466;0.335221857;;
77;;3.306;1.818;0.272;2.245;2.810;3.802;1.545;2.091;2.164;2.443;0.334588714;;
77.5;;3.301;1.805;0.268;2.252;2.806;3.797;1.534;2.075;1.955;2.426;0.332942667;;
78;;3.309;1.792;0.264;2.259;2.813;3.806;1.523;2.061;1.973;2.408;0.331676333;;
78.5;;3.327;1.780;0.259;2.267;2.828;3.826;1.513;2.047;2.003;2.389;0.331676333;;
79;;3.320;1.768;0.255;2.274;2.822;3.818;1.503;2.034;2.031;2.371;0.332562905;;
79.5;;3.310;1.759;0.251;2.281;2.813;3.806;1.495;2.022;2.161;2.348;0.333575857;;
80;;3.301;1.749;0.245;2.291;2.806;3.796;1.487;2.012;2.196;2.333;0.33484219;;
80.5;;3.306;1.741;0.240;2.300;2.810;3.802;1.480;2.002;2.339;2.314;0.336994429;;
81;;3.305;1.734;0.234;2.309;2.810;3.801;1.474;1.994;2.155;2.292;0.338260762;;
81.5;;3.305;1.727;0.229;2.318;2.809;3.801;1.468;1.986;2.139;2.270;0.338260762;;
82;;3.311;1.721;0.224;2.327;2.815;3.808;1.462;1.979;2.185;2.246;0.340033238;;
82.5;;3.306;1.715;0.219;2.336;2.810;3.802;1.458;1.972;2.387;2.226;0.340413;;
83;;3.322;1.710;0.214;2.345;2.823;3.820;1.454;1.967;2.456;2.210;0.340919095;;
83.5;;3.337;1.705;0.209;2.353;2.836;3.837;1.450;1.961;2.496;2.193;0.340665667;;
84;;3.344;1.701;0.204;2.361;2.843;3.846;1.446;1.957;2.310;2.184;0.34142519;;
84.5;;3.351;1.698;0.199;2.370;2.848;3.854;1.443;1.952;2.275;2.174;0.343577381;;
85;;3.332;1.694;0.194;2.378;2.832;3.832;1.440;1.948;2.450;2.164;0.343830762;;
85.5;;3.344;1.691;0.191;2.383;2.842;3.846;1.437;1.944;2.449;2.161;0.342944143;;
86;;3.330;1.687;0.188;2.388;2.830;3.829;1.434;1.940;2.424;2.152;0.344210476;;
86.5;;3.329;1.685;0.185;2.394;2.830;3.828;1.432;1.937;2.583;2.150;0.347629;;
87;;3.341;1.683;0.183;2.398;2.840;3.843;1.430;1.935;2.490;2.139;0.35066781;;
87.5;;3.358;1.682;0.182;2.399;2.854;3.861;1.429;1.934;2.557;2.138;0.351553667;;
88;;3.363;1.681;0.181;2.401;2.859;3.868;1.429;1.933;2.544;2.134;0.353199714;;
88.5;;3.359;1.680;0.180;2.402;2.855;3.862;1.428;1.932;2.522;2.130;0.353959238;;
89;;3.362;1.679;0.181;2.400;2.857;3.866;1.427;1.931;2.472;2.135;0.354718762;;
89.5;;3.370;1.678;0.182;2.399;2.865;3.876;1.426;1.930;2.495;2.132;0.356111429;;
90;;3.387;1.677;0.183;2.397;2.879;3.895;1.425;1.928;2.340;2.126;0.35915019;;
90.5;;3.393;1.676;0.185;2.393;2.884;3.902;1.424;1.927;2.604;2.129;0.361176048;;
91;;3.420;1.674;0.189;2.386;2.907;3.933;1.423;1.925;2.437;2.135;0.36180919;;
91.5;;3.418;1.672;0.193;2.379;2.905;3.930;1.421;1.923;2.392;2.149;0.364594571;;
