%     Depth,Temperature_,TC_m,RHOC_m,PHI,    RHOB,TC_m_min,TC_m_max,RHOC_m_miD,RHOC_m_max,TC.log	,      RHOC.log,RHP
%         m,          °C,W/(mK),kJ/(m³K),n/n,g/cm³,    W/(mK),    W/(mK),kJ/(m³K),kJ/(m³K),W/(mK)	,   kJ/(m³K),µW/m³	
0,8.51,2.147,2.267,0.02,2.617,1.825,2.469,1.927,2.607,2.093,2.304,0.684
0.5,8.52,2.345,2.273,0.02,2.617,1.993,2.697,1.932,2.614,2.282,2.31,0.589
1,8.53,2.334,2.272,0.02,2.617,1.984,2.684,1.932,2.613,2.272,2.31,0.594
1.5,8.54,2.139,2.267,0.02,2.617,1.818,2.46,1.927,2.607,2.086,2.304,0.688
2,8.55,2.199,2.268,0.02,2.617,1.869,2.528,1.928,2.609,2.142,2.306,0.659
2.5,8.56,2.49,2.276,0.02,2.617,2.117,2.864,1.935,2.618,2.421,2.314,0.52
3,8.57,2.782,2.283,0.02,2.617,2.365,3.2,1.94,2.625,2.699,2.32,0.38
3.5,8.58,2.887,2.285,0.02,2.617,2.454,3.32,1.942,2.628,2.798,2.322,0.33
4,8.59,2.457,2.276,0.02,2.617,2.089,2.826,1.934,2.617,2.389,2.313,0.535
4.5,8.6,2.284,2.271,0.02,2.617,1.941,2.627,1.93,2.612,2.224,2.309,0.618
5,8.61,2.008,2.262,0.02,2.617,1.707,2.309,1.923,2.601,1.96,2.3,0.751
5.5,8.62,2.108,2.266,0.02,2.617,1.792,2.424,1.926,2.605,2.056,2.303,0.703
6,8.63,2.093,2.265,0.02,2.617,1.779,2.407,1.925,2.605,2.041,2.303,0.71
6.5,8.64,2.162,2.267,0.02,2.617,1.837,2.486,1.927,2.607,2.107,2.305,0.677
7,8.65,2.267,2.271,0.02,2.617,1.927,2.607,1.93,2.611,2.208,2.308,0.627
7.5,8.66,2.291,2.271,0.02,2.617,1.947,2.635,1.931,2.612,2.231,2.309,0.615
8,8.67,2.177,2.268,0.02,2.617,1.85,2.503,1.928,2.608,2.121,2.305,0.67
8.5,8.68,2.062,2.264,0.02,2.617,1.753,2.372,1.924,2.604,2.012,2.302,0.725
9,8.69,2.15,2.267,0.02,2.617,1.828,2.473,1.927,2.607,2.096,2.305,0.683
9.5,8.7,2.067,2.264,0.02,2.617,1.757,2.378,1.925,2.604,2.017,2.302,0.722
10,8.71,2.032,2.263,0.02,2.617,1.727,2.337,1.923,2.602,1.984,2.301,0.739
10.5,8.72,2.068,2.264,0.02,2.617,1.758,2.378,1.925,2.604,2.017,2.302,0.722
11,8.73,2.005,2.262,0.02,2.617,1.704,2.306,1.923,2.601,1.958,2.3,0.752
11.5,8.74,2.12,2.266,0.02,2.617,1.802,2.438,1.926,2.606,2.067,2.304,0.697
12,8.75,2.235,2.27,0.02,2.617,1.899,2.57,1.929,2.61,2.177,2.307,0.642
12.5,8.76,2.319,2.272,0.02,2.617,1.971,2.666,1.931,2.613,2.257,2.31,0.602
13,8.77,2.217,2.269,0.02,2.617,1.884,2.549,1.929,2.609,2.16,2.307,0.651
13.5,8.78,2.345,2.273,0.02,2.617,1.993,2.696,1.932,2.614,2.282,2.31,0.589
14,8.79,2.222,2.269,0.02,2.617,1.889,2.555,1.929,2.61,2.165,2.307,0.648
14.5,8.8,2.099,2.265,0.02,2.617,1.784,2.414,1.925,2.605,2.048,2.303,0.707
15,8.81,1.977,2.261,0.02,2.617,1.68,2.273,1.922,2.6,1.93,2.299,0.766
15.5,8.82,2.114,2.266,0.02,2.617,1.797,2.431,1.926,2.606,2.061,2.303,0.7
16,8.83,2.258,2.27,0.02,2.617,1.919,2.596,1.93,2.611,2.199,2.308,0.631
16.5,8.84,2.31,2.272,0.02,2.617,1.964,2.657,1.931,2.613,2.249,2.309,0.606
17,8.85,2.333,2.272,0.02,2.617,1.983,2.683,1.932,2.613,2.271,2.31,0.595
17.5,8.86,2.375,2.274,0.02,2.617,2.018,2.731,1.932,2.615,2.311,2.311,0.575
