%     Depth,Temperature_,TC_m,RHOC_m,PHI,    RHOB,TC_m_min,TC_m_max,RHOC_m_miD,RHOC_m_max,    TC.log,      RHOC.log,       RHP,,
%         m,          °C,W/(mK),kJ/(m³K),n/n,g/cm³,    W/(mK),    W/(mK),kJ/(m³K),kJ/(m³K),    W/(mK),   kJ/(m³K),     µW/m³,,
0,,3.484,1.714,0.250,2.238,2.961,4.006,1.457,1.971,2.248,2.323,0.584915,,
0.5,,3.484,1.714,0.250,2.238,2.961,4.006,1.457,1.971,2.248,2.323,0.584915,,
1,,3.484,1.714,0.250,2.238,2.961,4.006,1.457,1.971,2.248,2.323,0.584915,,
1.5,,3.484,1.714,0.250,2.238,2.961,4.006,1.457,1.971,2.248,2.323,0.584915,,
2,,3.484,1.714,0.250,2.238,2.961,4.006,1.457,1.971,2.248,2.323,0.584915,,
2.5,,3.484,1.714,0.250,2.238,2.961,4.006,1.457,1.971,2.248,2.323,0.584915,,
3,,3.484,1.714,0.250,2.238,2.961,4.006,1.457,1.971,2.248,2.323,0.584915,,
3.5,,3.484,1.714,0.250,2.238,2.961,4.006,1.457,1.971,2.248,2.323,0.584915,,
4,,3.484,1.714,0.250,2.238,2.961,4.006,1.457,1.971,2.248,2.323,0.584915,,
4.5,,3.484,1.714,0.250,2.238,2.961,4.006,1.457,1.971,2.248,2.323,0.584915,,
5,,3.484,1.714,0.250,2.238,2.961,4.006,1.457,1.971,2.248,2.323,0.584915,,
5.5,,3.484,1.714,0.250,2.238,2.961,4.006,1.457,1.971,2.248,2.323,0.584915,,
6,,3.484,1.714,0.250,2.238,2.961,4.006,1.457,1.971,2.248,2.323,0.584915,,
6.5,,3.484,1.714,0.250,2.238,2.961,4.006,1.457,1.971,2.248,2.323,0.584915,,
7,,3.484,1.714,0.250,2.238,2.961,4.006,1.457,1.971,2.248,2.323,0.584915,,
7.5,,3.484,1.714,0.250,2.238,2.961,4.006,1.457,1.971,2.248,2.323,0.584915,,
8,,3.484,1.714,0.250,2.238,2.961,4.006,1.457,1.971,2.248,2.323,0.584915,,
8.5,,3.484,1.714,0.250,2.238,2.961,4.006,1.457,1.971,2.248,2.323,0.584915,,
9,,3.484,1.714,0.250,2.238,2.961,4.006,1.457,1.971,2.248,2.323,0.584915,,
9.5,,3.484,1.714,0.250,2.238,2.961,4.006,1.457,1.971,2.248,2.323,0.584915,,
10,,3.484,1.714,0.250,2.238,2.961,4.006,1.457,1.971,2.248,2.323,0.584915,,
10.5,,3.484,1.714,0.250,2.238,2.961,4.006,1.457,1.971,2.248,2.323,0.584915,,
11,,3.484,1.714,0.250,2.238,2.961,4.006,1.457,1.971,2.248,2.323,0.584915,,
11.5,,3.484,1.714,0.250,2.238,2.961,4.006,1.457,1.971,2.248,2.323,0.584915,,
12,,3.484,1.714,0.250,2.238,2.961,4.006,1.457,1.971,2.248,2.323,0.584915,,
12.5,,3.484,1.714,0.250,2.238,2.961,4.006,1.457,1.971,2.248,2.323,0.584915,,
13,,3.484,1.714,0.250,2.238,2.961,4.006,1.457,1.971,2.248,2.323,0.584915,,
13.5,,3.484,1.714,0.250,2.238,2.961,4.006,1.457,1.971,2.248,2.323,0.584915,,
14,,3.484,1.714,0.250,2.238,2.961,4.006,1.457,1.971,2.248,2.323,0.584915,,
14.5,,3.484,1.714,0.250,2.238,2.961,4.006,1.457,1.971,2.248,2.323,0.584915,,
15,,3.484,1.714,0.250,2.238,2.961,4.006,1.457,1.971,2.248,2.323,0.584915,,
15.5,,3.484,1.714,0.250,2.238,2.961,4.006,1.457,1.971,2.248,2.323,0.584915,,
16,,3.484,1.714,0.250,2.238,2.961,4.006,1.457,1.971,2.248,2.323,0.584915,,
16.5,,3.484,1.714,0.250,2.238,2.961,4.006,1.457,1.971,2.248,2.323,0.584915,,
17,,3.484,1.714,0.250,2.238,2.961,4.006,1.457,1.971,2.248,2.323,0.584915,,
17.5,,3.484,1.714,0.250,2.238,2.961,4.006,1.457,1.971,2.248,2.323,0.584915,,
18,,3.484,1.714,0.250,2.238,2.961,4.006,1.457,1.971,2.248,2.323,0.584915,,
18.5,,3.484,1.714,0.250,2.238,2.961,4.006,1.457,1.971,2.248,2.323,0.584915,,
19,,3.484,1.714,0.250,2.238,2.961,4.006,1.457,1.971,2.248,2.323,0.584915,,
19.5,,3.484,1.714,0.250,2.238,2.961,4.006,1.457,1.971,2.248,2.323,0.584915,,
20,,3.484,1.714,0.250,2.238,2.961,4.006,1.457,1.971,2.248,2.323,0.584915,,
20.5,,3.484,1.714,0.250,2.238,2.961,4.006,1.457,1.971,2.248,2.323,0.584915,,
21,,3.484,1.714,0.250,2.238,2.961,4.006,1.457,1.971,2.248,2.323,0.584915,,
21.5,,3.484,1.714,0.250,2.238,2.961,4.006,1.457,1.971,2.248,2.323,0.584915,,
22,,3.484,1.714,0.250,2.238,2.961,4.006,1.457,1.971,2.248,2.323,0.584915,,
22.5,,3.484,1.714,0.250,2.238,2.961,4.006,1.457,1.971,2.248,2.323,0.584915,,
23,,3.484,1.714,0.250,2.238,2.961,4.006,1.457,1.971,2.248,2.323,0.584915,,
23.5,,3.484,1.714,0.250,2.238,2.961,4.006,1.457,1.971,2.248,2.323,0.584915,,
24,,3.484,1.714,0.250,2.238,2.961,4.006,1.457,1.971,2.248,2.323,0.584915,,
24.5,,3.484,1.714,0.250,2.238,2.961,4.006,1.457,1.971,2.248,2.323,0.584915,,
25,,3.484,1.714,0.250,2.238,2.961,4.006,1.457,1.971,2.248,2.323,0.584915,,
25.5,,3.484,1.714,0.250,2.238,2.961,4.006,1.457,1.971,2.248,2.323,0.584915,,
26,,3.484,1.714,0.250,2.238,2.961,4.006,1.457,1.971,2.248,2.323,0.584915,,
26.5,,3.484,1.714,0.250,2.238,2.961,4.006,1.457,1.971,2.248,2.323,0.584915,,
27,,3.484,1.714,0.250,2.238,2.961,4.006,1.457,1.971,2.248,2.323,0.584915,,
27.5,,3.484,1.714,0.250,2.238,2.961,4.006,1.457,1.971,2.248,2.323,0.584915,,
28,,3.484,1.714,0.250,2.238,2.961,4.006,1.457,1.971,2.248,2.323,0.584915,,
28.5,,3.484,1.714,0.250,2.238,2.961,4.006,1.457,1.971,2.248,2.323,0.584623,,
29,,3.484,1.710,0.250,2.238,2.961,4.006,1.454,1.967,2.248,2.320,0.627858,,
29.5,,3.484,1.728,0.250,2.238,2.961,4.006,1.469,1.987,2.248,2.333,0.464798,,
30,,3.484,1.724,0.250,2.238,2.961,4.006,1.466,1.983,2.248,2.331,0.635229,,
30.5,,3.484,1.724,0.250,2.238,2.961,4.006,1.466,1.983,2.248,2.331,0.637123,,
31,,3.484,1.718,0.250,2.238,2.961,4.006,1.460,1.976,2.248,2.326,0.478112,,
31.5,,3.484,1.721,0.250,2.238,2.961,4.006,1.463,1.979,2.248,2.328,0.49219,,
32,,3.484,1.721,0.250,2.238,2.961,4.006,1.463,1.979,2.248,2.328,0.490358,,
32.5,,3.484,1.728,0.250,2.238,2.961,4.006,1.469,1.987,2.248,2.333,0.59063,,
33,,3.484,1.711,0.250,2.238,2.961,4.006,1.454,1.967,2.248,2.321,0.562352,,
33.5,,3.484,1.728,0.250,2.238,2.961,4.006,1.469,1.987,2.248,2.333,0.403695,,
34,,3.484,1.715,0.250,2.238,2.961,4.006,1.458,1.973,2.248,2.324,0.336975,,
34.5,,3.484,1.725,0.250,2.238,2.961,4.006,1.466,1.983,2.248,2.331,0.207256,,
35,,3.484,1.715,0.250,2.238,2.961,4.006,1.458,1.972,2.248,2.324,0.392725,,
35.5,,3.484,1.728,0.250,2.238,2.961,4.006,1.469,1.987,2.248,2.333,0.285554,,
36,,3.484,1.714,0.250,2.238,2.961,4.006,1.457,1.971,2.248,2.323,0.639497,,
36.5,,3.484,1.710,0.250,2.238,2.961,4.006,1.454,1.967,2.248,2.320,0.685973,,
37,,3.484,1.721,0.250,2.238,2.961,4.006,1.463,1.979,2.248,2.328,0.679474,,
37.5,,3.484,1.713,0.250,2.238,2.961,4.006,1.456,1.970,2.248,2.322,0.830937,,
38,,3.401,1.694,0.250,2.238,2.891,3.911,1.440,1.948,2.208,2.308,0.859991,,
38.5,,3.528,1.698,0.250,2.238,2.999,4.057,1.443,1.953,2.269,2.311,0.815448,,
39,,3.750,1.720,0.250,2.238,3.188,4.313,1.462,1.979,2.376,2.328,0.738681,,
39.5,,3.470,1.701,0.250,2.238,2.950,3.991,1.446,1.957,2.242,2.314,0.83561,,
40,,3.660,1.713,0.250,2.238,3.111,4.209,1.456,1.970,2.333,2.322,0.769831,,
40.5,,3.436,1.716,0.250,2.238,2.920,3.951,1.459,1.974,2.225,2.325,0.847814,,
41,,4.040,1.714,0.250,2.238,3.434,4.646,1.457,1.971,2.512,2.323,0.640253,,
41.5,,3.602,1.706,0.250,2.238,3.062,4.142,1.450,1.961,2.305,2.317,0.789778,,
42,,3.469,1.701,0.250,2.238,2.948,3.989,1.446,1.957,2.241,2.314,0.836199,,
42.5,,3.586,1.706,0.250,2.238,3.048,4.124,1.450,1.961,2.297,2.317,0.795343,,
43,,3.920,1.721,0.250,2.238,3.332,4.508,1.463,1.979,2.456,2.328,0.680574,,
43.5,,3.896,1.710,0.250,2.238,3.311,4.480,1.454,1.967,2.445,2.320,0.688933,,
44,,3.564,1.720,0.250,2.238,3.029,4.098,1.462,1.978,2.287,2.328,0.803117,,
44.5,,2.994,1.695,0.250,2.238,2.545,3.443,1.441,1.950,2.006,2.309,1.00543,,
45,,2.871,1.719,0.250,2.238,2.441,3.302,1.462,1.977,1.945,2.327,1.05015,,
45.5,,2.441,1.683,0.250,2.238,2.074,2.807,1.431,1.936,1.721,2.300,1.21132,,
46,,2.375,1.719,0.250,2.238,2.018,2.731,1.461,1.977,1.686,2.327,1.23661,,
46.5,,2.150,1.709,0.250,2.238,1.828,2.473,1.453,1.965,1.565,2.319,1.32403,,
47,,2.083,1.699,0.250,2.238,1.770,2.395,1.444,1.954,1.528,2.312,1.35068,,
47.5,,1.815,1.677,0.250,2.238,1.543,2.088,1.426,1.929,1.379,2.295,1.45883,,
48,,2.021,1.689,0.250,2.238,1.718,2.324,1.436,1.943,1.494,2.304,1.37529,,
48.5,,2.994,1.695,0.250,2.238,2.545,3.443,1.441,1.950,2.007,2.309,1.0053,,
49,,3.598,1.706,0.250,2.238,3.058,4.137,1.450,1.961,2.303,2.317,0.791331,,
49.5,,3.802,1.717,0.250,2.238,3.231,4.372,1.459,1.974,2.400,2.325,0.721045,,
50,,3.350,1.697,0.250,2.238,2.847,3.852,1.443,1.952,2.183,2.310,0.878026,,
50.5,,4.035,1.714,0.250,2.238,3.430,4.641,1.457,1.971,2.510,2.323,0.641664,,
51,,3.932,1.721,0.250,2.238,3.342,4.522,1.463,1.979,2.462,2.328,0.676656,,
51.5,,4.008,1.703,0.250,2.238,3.407,4.609,1.448,1.959,2.497,2.315,0.650951,,
52,,3.645,1.702,0.250,2.238,3.098,4.191,1.447,1.957,2.325,2.314,0.774992,,
52.5,,3.502,1.713,0.250,2.238,2.976,4.027,1.456,1.970,2.257,2.322,0.824705,,
53,,3.818,1.728,0.250,2.238,3.245,4.390,1.469,1.987,2.408,2.333,0.715536,,
53.5,,3.644,1.702,0.250,2.238,3.098,4.191,1.447,1.957,2.325,2.314,0.775093,,
54,,4.062,1.724,0.250,2.238,3.453,4.671,1.466,1.983,2.522,2.331,0.632692,,
54.5,,4.023,1.714,0.250,2.238,3.419,4.626,1.457,1.971,2.504,2.323,0.645903,,
55,,3.770,1.706,0.250,2.238,3.205,4.336,1.450,1.962,2.385,2.317,0.731827,,
55.5,,4.011,1.703,0.250,2.238,3.409,4.612,1.448,1.959,2.498,2.315,0.65008,,
56,,3.992,1.728,0.250,2.238,3.394,4.591,1.469,1.987,2.490,2.333,0.65619,,
56.5,,3.696,1.724,0.250,2.238,3.142,4.250,1.465,1.983,2.350,2.331,0.757283,,
57,,3.908,1.710,0.250,2.238,3.322,4.494,1.454,1.967,2.450,2.320,0.68485,,
57.5,,3.668,1.713,0.250,2.238,3.118,4.219,1.456,1.970,2.337,2.322,0.766804,,
