% DEPTH	TEMP
1.77	-3.85
1.92	-3.9
1.92	-3.95
1.91	-4
1.93	-4.05
1.94	-4.1
1.95	-4.15
1.95	-4.2
1.96	-4.25
1.95	-4.3
1.94	-4.35
1.94	-4.4
1.96	-4.45
1.96	-4.5
1.96	-4.55
1.97	-4.6
1.97	-4.65
1.98	-4.7
1.98	-4.75
1.97	-4.8
1.99	-4.85
2	-4.9
1.99	-4.95
1.99	-5
1.99	-5.05
1.98	-5.1
2	-5.15
1.99	-5.2
1.99	-5.25
1.99	-5.3
2	-5.35
2.01	-5.4
1.99	-5.45
2	-5.5
2.01	-5.55
2.01	-5.6
2.02	-5.65
2.02	-5.7
2.02	-5.75
2.02	-5.8
2.01	-5.85
2.03	-5.9
2.03	-5.95
2.03	-6
2.04	-6.05
2.04	-6.1
2.04	-6.15
2.05	-6.2
2.05	-6.25
2.06	-6.3
2.04	-6.35
2.04	-6.4
2.05	-6.45
2.05	-6.5
2.04	-6.55
2.05	-6.6
2.05	-6.65
2.04	-6.7
2.04	-6.75
2.05	-6.8
2.06	-6.85
2.06	-6.9
2.06	-6.95
2.06	-7
2.06	-7.05
2.08	-7.1
2.1	-7.15
2.1	-7.2
2.09	-7.25
2.09	-7.3
2.09	-7.35
2.09	-7.4
2.1	-7.45
2.1	-7.5
2.1	-7.55
2.1	-7.6
2.11	-7.65
2.12	-7.7
2.13	-7.75
2.13	-7.8
2.14	-7.85
2.13	-7.9
2.14	-7.95
2.15	-8
2.15	-8.05
2.15	-8.1
2.15	-8.15
2.15	-8.2
2.14	-8.25
2.15	-8.3
2.15	-8.35
2.14	-8.4
2.14	-8.45
2.16	-8.5
2.16	-8.55
2.15	-8.6
2.15	-8.65
2.16	-8.7
2.16	-8.75
2.16	-8.8
2.16	-8.85
2.15	-8.9
2.16	-8.95
2.17	-9
2.18	-9.05
2.2	-9.1
2.19	-9.15
2.19	-9.2
2.2	-9.25
2.2	-9.3
2.19	-9.35
2.2	-9.4
2.21	-9.45
2.22	-9.5
2.22	-9.55
2.21	-9.6
2.22	-9.65
2.23	-9.7
2.22	-9.75
2.22	-9.8
2.23	-9.85
2.23	-9.9
2.22	-9.95
2.22	-10
2.22	-10.05
2.21	-10.1
2.22	-10.15
2.23	-10.2
2.24	-10.25
2.23	-10.3
2.23	-10.35
2.24	-10.4
2.25	-10.45
2.25	-10.5
2.25	-10.55
2.25	-10.6
2.25	-10.65
2.26	-10.7
2.26	-10.75
2.27	-10.8
2.28	-10.85
2.28	-10.9
2.29	-10.95
2.28	-11
2.28	-11.05
2.29	-11.1
2.27	-11.15
2.28	-11.2
2.29	-11.25
2.28	-11.3
2.28	-11.35
2.28	-11.4
2.29	-11.45
2.3	-11.5
2.3	-11.55
2.3	-11.6
2.3	-11.65
2.3	-11.7
2.3	-11.75
2.31	-11.8
2.31	-11.85
2.3	-11.9
2.29	-11.95
2.3	-12
2.3	-12.05
2.31	-12.1
2.31	-12.15
2.31	-12.2
2.31	-12.25
2.32	-12.3
2.32	-12.35
2.34	-12.4
2.34	-12.45
2.32	-12.5
2.32	-12.55
2.33	-12.6
2.35	-12.65
2.35	-12.7
2.35	-12.75
2.37	-12.8
2.38	-12.85
2.38	-12.9
2.37	-12.95
2.37	-13
2.37	-13.05
2.37	-13.1
2.37	-13.15
2.37	-13.2
2.37	-13.25
2.38	-13.3
2.38	-13.35
2.38	-13.4
2.4	-13.45
2.41	-13.5
2.41	-13.55
2.42	-13.6
2.41	-13.65
2.4	-13.7
2.41	-13.75
2.43	-13.8
2.44	-13.85
2.43	-13.9
2.43	-13.95
2.44	-14
2.44	-14.05
2.43	-14.1
2.45	-14.15
2.46	-14.2
2.46	-14.25
2.46	-14.3
2.46	-14.35
2.45	-14.4
2.45	-14.45
2.45	-14.5
2.46	-14.55
2.47	-14.6
2.46	-14.65
2.46	-14.7
2.47	-14.75
2.47	-14.8
2.47	-14.85
2.46	-14.9
2.47	-14.95
2.48	-15
2.48	-15.05
2.48	-15.1
2.49	-15.15
2.49	-15.2
2.48	-15.25
2.47	-15.3
2.49	-15.35
2.5	-15.4
2.5	-15.45
2.51	-15.5
2.51	-15.55
2.5	-15.6
2.49	-15.65
2.49	-15.7
2.5	-15.75
2.52	-15.8
2.53	-15.85
2.52	-15.9
2.51	-15.95
2.5	-16
2.5	-16.05
2.52	-16.1
2.52	-16.15
2.51	-16.2
2.52	-16.25
2.53	-16.3
2.53	-16.35
2.53	-16.4
2.54	-16.45
2.55	-16.5
2.56	-16.55
2.55	-16.6
2.55	-16.65
2.57	-16.7
2.57	-16.75
2.56	-16.8
2.55	-16.85
2.57	-16.9
2.56	-16.95
2.54	-17
2.55	-17.05
2.56	-17.1
2.57	-17.15
2.56	-17.2
2.56	-17.25
2.57	-17.3
2.58	-17.35
2.59	-17.4
2.58	-17.45
2.59	-17.5
2.58	-17.55
