%     Depth,Temperature_,TC_m,RHOC_m,PHI,    RHOB,TC_m_min,TC_m_max,RHOC_m_miD,RHOC_m_max,    TC.log,      RHOC.log,       RHP,,
%         m,          °C,W/(mK),kJ/(m³K),n/n,g/cm³,    W/(mK),    W/(mK),kJ/(m³K),kJ/(m³K),    W/(mK),   kJ/(m³K),     µW/m³,,
0,,3.258,2.003,0.300,2.197,2.769,3.747,1.703,2.303,1.965,2.647,0.0435,,
0.5,,3.258,2.003,0.300,2.197,2.769,3.747,1.703,2.303,1.965,2.647,0.0435,,
1,,3.258,2.003,0.300,2.197,2.769,3.747,1.703,2.303,1.965,2.647,0.0435,,
1.5,,3.258,2.003,0.300,2.197,2.769,3.747,1.703,2.303,1.965,2.647,0.0435,,
2,,3.258,2.003,0.300,2.197,2.769,3.747,1.703,2.303,1.965,2.647,0.0435,,
2.5,,3.258,2.003,0.300,2.197,2.769,3.747,1.703,2.303,1.965,2.647,0.0435,,
3,,3.258,2.003,0.300,2.197,2.769,3.747,1.703,2.303,1.965,2.647,0.0435,,
3.5,,3.258,2.003,0.300,2.197,2.769,3.747,1.703,2.303,1.965,2.647,0.0541285,,
4,,3.258,2.003,0.300,2.197,2.769,3.747,1.703,2.303,1.965,2.647,0.0541285,,
4.5,,3.258,2.003,0.300,2.197,2.769,3.747,1.703,2.303,1.965,2.647,0.234943,,
5,,3.258,2.003,0.300,2.197,2.769,3.747,1.703,2.303,1.965,2.647,0.269511,,
5.5,,3.258,2.003,0.300,2.197,2.769,3.747,1.703,2.303,1.965,2.647,0.051475,,
6,,3.258,2.003,0.300,2.197,2.769,3.747,1.703,2.303,1.965,2.647,0.0488215,,
6.5,,3.258,2.003,0.300,2.197,2.769,3.747,1.703,2.303,1.965,2.647,0.13124,,
7,,3.258,2.003,0.300,2.197,2.769,3.747,1.703,2.303,1.965,2.647,0.261537,,
7.5,,3.258,2.003,0.300,2.197,2.769,3.747,1.703,2.303,1.965,2.647,0.288115,,
8,,3.258,2.003,0.300,2.197,2.769,3.747,1.703,2.303,1.965,2.647,0.256215,,
8.5,,3.258,2.003,0.300,2.197,2.769,3.747,1.703,2.303,1.965,2.647,0.211019,,
9,,3.258,2.003,0.300,2.197,2.769,3.747,1.703,2.303,1.965,2.647,0.240265,,
9.5,,3.258,2.003,0.300,2.197,2.769,3.747,1.703,2.303,1.965,2.647,0.320029,,
10,,3.258,2.003,0.300,2.197,2.769,3.747,1.703,2.303,1.965,2.647,0.341301,,
10.5,,3.258,2.003,0.300,2.197,2.769,3.747,1.703,2.303,1.965,2.647,0.330658,,
11,,3.258,2.003,0.300,2.197,2.769,3.747,1.703,2.303,1.965,2.647,0.320029,,
11.5,,3.258,2.003,0.300,2.197,2.769,3.747,1.703,2.303,1.965,2.647,0.330658,,
12,,3.258,2.003,0.300,2.197,2.769,3.747,1.703,2.303,1.965,2.647,0.362572,,
12.5,,3.258,2.003,0.300,2.197,2.769,3.747,1.703,2.303,1.965,2.647,0.367894,,
13,,3.258,2.003,0.300,2.197,2.769,3.747,1.703,2.303,1.965,2.647,0.405115,,
13.5,,3.258,2.003,0.300,2.197,2.769,3.747,1.703,2.303,1.965,2.647,0.426387,,
14,,3.258,2.003,0.300,2.197,2.769,3.747,1.703,2.303,1.965,2.647,0.389165,,
14.5,,3.258,2.003,0.300,2.197,2.769,3.747,1.703,2.303,1.965,2.647,0.394473,,
15,,3.258,2.003,0.300,2.197,2.769,3.747,1.703,2.303,1.965,2.647,0.383844,,
15.5,,3.258,2.003,0.300,2.197,2.769,3.747,1.703,2.303,1.965,2.647,0.373201,,
16,,3.258,2.003,0.300,2.197,2.769,3.747,1.703,2.303,1.965,2.647,0.386497,,
16.5,,3.258,2.003,0.300,2.197,2.769,3.747,1.703,2.303,1.965,2.647,0.405115,,
17,,3.258,2.003,0.300,2.197,2.769,3.747,1.703,2.303,1.965,2.647,0.383844,,
17.5,,3.258,2.003,0.300,2.197,2.769,3.747,1.703,2.303,1.965,2.647,0.405115,,
18,,3.258,2.003,0.300,2.197,2.769,3.747,1.703,2.303,1.965,2.647,0.405115,,
18.5,,3.258,2.003,0.300,2.197,2.769,3.747,1.703,2.303,1.965,2.647,0.383844,,
19,,3.258,2.003,0.300,2.197,2.769,3.747,1.703,2.303,1.965,2.647,0.378522,,
19.5,,3.258,2.003,0.300,2.197,2.769,3.747,1.703,2.303,1.965,2.647,0.383844,,
20,,3.258,2.003,0.300,2.197,2.769,3.747,1.703,2.303,1.965,2.647,0.335979,,
20.5,,3.258,2.003,0.300,2.197,2.769,3.747,1.703,2.303,1.965,2.647,0.277487,,
21,,3.258,2.003,0.300,2.197,2.769,3.747,1.703,2.303,1.965,2.647,0.274833,,
21.5,,3.258,2.003,0.300,2.197,2.769,3.747,1.703,2.303,1.965,2.647,0.258868,,
22,,3.258,2.003,0.300,2.197,2.769,3.747,1.703,2.303,1.965,2.647,0.261537,,
22.5,,3.258,2.003,0.300,2.197,2.769,3.747,1.703,2.303,1.965,2.647,0.253561,,
23,,3.258,2.003,0.300,2.197,2.769,3.747,1.703,2.303,1.965,2.647,0.250894,,
23.5,,3.258,2.003,0.300,2.197,2.769,3.747,1.703,2.303,1.965,2.647,0.24824,,
24,,3.258,2.003,0.300,2.197,2.769,3.747,1.703,2.303,1.965,2.647,0.258868,,
24.5,,3.258,2.003,0.300,2.197,2.769,3.747,1.703,2.303,1.965,2.647,0.261537,,
25,,3.258,2.003,0.300,2.197,2.769,3.747,1.703,2.303,1.965,2.647,0.250894,,
25.5,,3.258,2.003,0.300,2.197,2.769,3.747,1.703,2.303,1.965,2.647,0.272165,,
26,,3.258,2.003,0.300,2.197,2.769,3.747,1.703,2.303,1.965,2.647,0.272165,,
26.5,,3.258,2.003,0.300,2.197,2.769,3.747,1.703,2.303,1.965,2.647,0.28014,,
27,,3.258,2.003,0.300,2.197,2.769,3.747,1.703,2.303,1.965,2.647,0.298758,,
27.5,,3.258,2.003,0.300,2.197,2.769,3.747,1.703,2.303,1.965,2.647,0.320029,,
28,,3.258,2.003,0.300,2.197,2.769,3.747,1.703,2.303,1.965,2.647,0.301412,,
28.5,,3.258,2.003,0.300,2.197,2.769,3.747,1.703,2.303,1.965,2.647,0.298758,,
29,,3.258,2.003,0.300,2.197,2.769,3.747,1.703,2.303,1.965,2.647,0.298758,,
29.5,,3.258,2.003,0.300,2.197,2.769,3.747,1.703,2.303,1.965,2.647,0.272165,,
30,,3.258,2.003,0.300,2.197,2.769,3.747,1.703,2.303,1.965,2.647,0.298758,,
30.5,,3.258,2.003,0.300,2.197,2.769,3.747,1.703,2.303,1.965,2.647,0.328005,,
31,,3.258,2.003,0.300,2.197,2.769,3.747,1.703,2.303,1.965,2.647,0.309386,,
31.5,,3.258,2.003,0.300,2.197,2.769,3.747,1.703,2.303,1.965,2.647,0.309386,,
32,,3.258,2.003,0.300,2.197,2.769,3.747,1.703,2.303,1.965,2.647,0.314708,,
32.5,,3.258,2.003,0.300,2.197,2.769,3.747,1.703,2.303,1.965,2.647,0.301412,,
33,,3.258,2.003,0.300,2.197,2.769,3.747,1.703,2.303,1.965,2.647,0.293436,,
33.5,,3.258,2.003,0.300,2.197,2.769,3.747,1.703,2.303,1.965,2.647,0.298758,,
34,,3.258,2.003,0.300,2.197,2.769,3.747,1.703,2.303,1.965,2.647,0.320029,,
34.5,,3.258,2.003,0.300,2.197,2.769,3.747,1.703,2.303,1.965,2.647,0.320029,,
35,,3.258,2.003,0.300,2.197,2.769,3.747,1.703,2.303,1.965,2.647,0.341301,,
35.5,,3.258,2.003,0.300,2.197,2.769,3.747,1.703,2.303,1.965,2.647,0.354598,,
36,,3.258,2.003,0.300,2.197,2.769,3.747,1.703,2.303,1.965,2.647,0.317376,,
36.5,,3.258,2.003,0.300,2.197,2.769,3.747,1.703,2.303,1.965,2.647,0.325351,,
37,,3.258,2.231,0.300,2.197,2.769,3.747,1.897,2.566,1.965,2.807,0.309386,,
37.5,,3.258,2.291,0.300,2.197,2.769,3.747,1.947,2.634,1.965,2.848,0.320029,,
38,,3.258,2.263,0.300,2.197,2.769,3.747,1.924,2.602,1.965,2.829,0.314708,,
38.5,,3.258,2.280,0.300,2.197,2.769,3.747,1.938,2.622,1.965,2.841,0.309386,,
39,,3.258,2.288,0.300,2.197,2.769,3.747,1.944,2.631,1.965,2.846,0.320029,,
39.5,,3.258,2.282,0.300,2.197,2.769,3.747,1.939,2.624,1.965,2.842,0.309386,,
40,,3.258,2.279,0.300,2.197,2.769,3.747,1.937,2.620,1.965,2.840,0.298758,,
40.5,,3.258,2.299,0.300,2.197,2.769,3.747,1.954,2.644,1.965,2.854,0.298758,,
41,,3.258,2.329,0.300,2.197,2.769,3.747,1.980,2.678,1.965,2.875,0.330658,,
41.5,,3.258,2.341,0.300,2.197,2.769,3.747,1.990,2.693,1.965,2.884,0.320029,,
42,,3.258,2.351,0.300,2.197,2.769,3.747,1.999,2.704,1.965,2.891,0.309386,,
42.5,,3.258,2.350,0.300,2.197,2.769,3.747,1.997,2.702,1.965,2.890,0.309386,,
43,,3.258,2.354,0.300,2.197,2.769,3.747,2.001,2.707,1.965,2.893,0.298758,,
43.5,,3.258,2.341,0.300,2.197,2.769,3.747,1.990,2.693,1.965,2.884,0.335979,,
44,,3.258,2.341,0.300,2.197,2.769,3.747,1.990,2.692,1.965,2.884,0.346622,,
44.5,,3.258,2.331,0.300,2.197,2.769,3.747,1.981,2.680,1.965,2.877,0.354598,,
45,,3.258,2.336,0.300,2.197,2.769,3.747,1.986,2.687,1.965,2.880,0.362572,,
45.5,,3.258,2.357,0.300,2.197,2.769,3.747,2.004,2.711,1.965,2.895,0.341301,,
46,,3.258,2.363,0.300,2.197,2.769,3.747,2.009,2.718,1.965,2.899,0.322683,,
46.5,,3.258,2.362,0.300,2.197,2.769,3.747,2.008,2.716,1.965,2.898,0.314708,,
47,,3.309,2.336,0.306,2.186,2.812,3.805,1.986,2.687,1.965,2.892,0.298758,,
47.5,,3.581,2.324,0.306,2.186,3.044,4.119,1.975,2.672,2.076,2.883,0.298758,,
48,,3.547,2.304,0.306,2.186,3.015,4.079,1.958,2.649,2.062,2.869,0.296104,,
48.5,,3.294,2.293,0.306,2.186,2.800,3.788,1.949,2.637,1.959,2.862,0.293436,,
49,,3.321,2.276,0.306,2.186,2.823,3.819,1.934,2.617,1.970,2.850,0.312055,,
49.5,,3.316,2.254,0.306,2.186,2.819,3.813,1.916,2.592,1.968,2.835,0.309386,,
50,,3.350,2.239,0.306,2.186,2.848,3.853,1.903,2.575,1.982,2.825,0.296104,,
50.5,,3.287,2.220,0.306,2.186,2.794,3.780,1.887,2.553,1.956,2.812,0.30408,,
51,,3.450,2.206,0.306,2.186,2.933,3.968,1.875,2.536,2.023,2.801,0.312055,,
51.5,,3.423,2.191,0.306,2.186,2.910,3.937,1.862,2.520,2.012,2.791,0.330658,,
52,,3.171,2.182,0.306,2.186,2.696,3.647,1.855,2.509,1.908,2.785,0.341301,,
52.5,,3.140,2.179,0.306,2.186,2.669,3.611,1.852,2.506,1.895,2.783,0.343955,,
53,,3.219,2.167,0.306,2.186,2.736,3.702,1.842,2.493,1.928,2.775,0.320029,,
53.5,,3.497,2.165,0.306,2.186,2.973,4.022,1.841,2.490,2.042,2.773,0.301412,,
54,,3.350,2.155,0.306,2.186,2.848,3.853,1.831,2.478,1.982,2.766,0.285461,,
54.5,,3.431,2.148,0.306,2.186,2.916,3.945,1.826,2.470,2.015,2.761,0.298758,,
55,,3.229,2.142,0.306,2.186,2.745,3.713,1.821,2.463,1.932,2.757,0.298758,,
55.5,,3.335,2.139,0.306,2.186,2.835,3.836,1.818,2.459,1.976,2.755,0.320029,,
56,,3.497,2.155,0.300,2.197,2.973,4.022,1.831,2.478,2.065,2.753,0.333326,,
56.5,,3.488,2.160,0.300,2.197,2.964,4.011,1.836,2.485,2.061,2.757,0.335979,,
57,,3.270,2.163,0.300,2.197,2.779,3.760,1.839,2.488,1.970,2.759,0.341301,,
57.5,,3.408,2.154,0.300,2.197,2.897,3.919,1.831,2.477,2.028,2.753,0.30408,,
58,,3.332,2.150,0.300,2.197,2.832,3.831,1.827,2.472,1.996,2.750,0.298758,,
58.5,,3.180,2.149,0.300,2.197,2.703,3.657,1.826,2.471,1.932,2.749,0.288115,,
59,,3.185,2.193,0.283,2.226,2.707,3.663,1.864,2.522,1.990,2.747,0.298758,,
59.5,,3.329,2.185,0.283,2.226,2.830,3.828,1.857,2.513,2.054,2.741,0.330658,,
60,,3.110,2.182,0.283,2.226,2.643,3.576,1.854,2.509,1.956,2.739,0.335979,,
60.5,,3.566,2.183,0.283,2.226,3.031,4.101,1.856,2.511,2.158,2.740,0.298758,,
61,,3.376,2.182,0.283,2.226,2.870,3.883,1.855,2.510,2.075,2.739,0.298758,,
61.5,,3.241,2.180,0.283,2.226,2.755,3.727,1.853,2.507,2.015,2.737,0.330658,,
62,,3.365,2.177,0.283,2.226,2.860,3.870,1.851,2.504,2.070,2.735,0.312055,,
62.5,,3.447,2.167,0.283,2.226,2.930,3.964,1.842,2.492,2.106,2.728,0.325351,,
63,,3.582,2.161,0.283,2.226,3.045,4.120,1.837,2.485,2.165,2.724,0.335979,,
63.5,,3.216,2.149,0.283,2.226,2.734,3.699,1.827,2.471,2.004,2.715,0.335979,,
64,,3.406,2.147,0.283,2.226,2.895,3.917,1.825,2.469,2.088,2.714,0.359919,,
64.5,,3.203,2.138,0.283,2.226,2.723,3.683,1.818,2.459,1.998,2.707,0.335979,,
65,,3.336,2.128,0.283,2.226,2.835,3.836,1.808,2.447,2.057,2.700,0.341301,,
65.5,,3.548,2.122,0.283,2.226,3.016,4.080,1.803,2.440,2.150,2.696,0.314708,,
66,,3.585,2.069,0.293,2.208,3.047,4.122,1.759,2.380,2.126,2.680,0.335979,,
66.5,,3.186,2.060,0.293,2.208,2.708,3.664,1.751,2.369,1.956,2.673,0.341301,,
67,,3.585,2.046,0.293,2.208,3.047,4.122,1.739,2.352,2.126,2.663,0.341301,,
67.5,,3.566,2.038,0.293,2.208,3.031,4.101,1.733,2.344,2.118,2.658,0.30408,,
68,,3.246,2.032,0.293,2.208,2.759,3.733,1.727,2.336,1.982,2.653,0.335979,,
68.5,,3.559,2.026,0.293,2.208,3.025,4.092,1.722,2.330,2.115,2.649,0.322683,,
69,,3.464,2.023,0.293,2.208,2.944,3.983,1.720,2.327,2.075,2.647,0.320029,,
69.5,,3.414,2.028,0.293,2.208,2.902,3.926,1.724,2.333,2.054,2.651,0.335979,,
70,,3.228,2.021,0.293,2.208,2.743,3.712,1.718,2.325,1.974,2.646,0.322683,,
70.5,,3.478,2.004,0.293,2.208,2.956,4.000,1.703,2.304,2.081,2.633,0.314708,,
71,,3.544,1.989,0.293,2.208,3.013,4.076,1.691,2.288,2.109,2.623,0.335979,,
71.5,,3.563,1.976,0.293,2.208,3.029,4.098,1.679,2.272,2.117,2.614,0.346622,,
72,,3.480,1.959,0.293,2.208,2.958,4.002,1.665,2.253,2.082,2.602,0.362572,,
72.5,,3.344,1.941,0.293,2.208,2.842,3.845,1.650,2.232,2.024,2.589,0.362572,,
73,,3.209,1.921,0.293,2.208,2.728,3.690,1.633,2.209,1.966,2.575,0.335979,,
73.5,,3.402,1.901,0.293,2.208,2.892,3.913,1.616,2.186,2.049,2.561,0.314708,,
74,,3.405,1.872,0.293,2.208,2.894,3.915,1.591,2.153,2.050,2.540,0.293436,,
74.5,,3.475,1.857,0.293,2.208,2.954,3.997,1.579,2.136,2.080,2.530,0.309386,,
75,,3.172,1.869,0.283,2.226,2.696,3.648,1.589,2.149,1.984,2.514,0.320029,,
75.5,,3.259,1.845,0.283,2.226,2.770,3.748,1.568,2.122,2.023,2.497,0.314708,,
76,,3.511,1.824,0.283,2.226,2.984,4.038,1.551,2.098,2.134,2.482,0.357251,,
76.5,,3.221,1.801,0.283,2.226,2.738,3.704,1.531,2.071,2.006,2.466,0.335979,,
77,,3.580,1.770,0.283,2.226,3.043,4.117,1.504,2.035,2.164,2.443,0.333326,,
77.5,,3.107,1.745,0.283,2.226,2.641,3.573,1.484,2.007,1.955,2.426,0.341301,,
78,,3.095,1.746,0.276,2.239,2.631,3.559,1.484,2.008,1.973,2.408,0.354598,,
78.5,,3.160,1.719,0.276,2.239,2.686,3.634,1.461,1.977,2.003,2.389,0.362572,,
79,,3.221,1.695,0.276,2.239,2.738,3.704,1.440,1.949,2.031,2.371,0.333326,,
79.5,,3.509,1.662,0.276,2.239,2.983,4.036,1.413,1.912,2.161,2.348,0.341301,,
80,,3.287,1.765,0.238,2.303,2.794,3.780,1.501,2.030,2.196,2.333,0.354598,,
80.5,,3.571,1.740,0.238,2.303,3.035,4.107,1.479,2.001,2.339,2.314,0.330658,,
81,,3.207,1.711,0.238,2.303,2.726,3.688,1.454,1.968,2.155,2.292,0.314708,,
81.5,,3.176,1.682,0.238,2.303,2.699,3.652,1.430,1.934,2.139,2.270,0.320029,,
82,,3.031,1.761,0.203,2.363,2.577,3.486,1.497,2.025,2.185,2.246,0.333326,,
82.5,,3.387,1.736,0.203,2.363,2.879,3.895,1.476,1.997,2.387,2.226,0.328005,,
83,,3.510,1.716,0.203,2.363,2.984,4.037,1.459,1.974,2.456,2.210,0.335979,,
83.5,,3.582,1.695,0.203,2.363,3.045,4.119,1.441,1.949,2.496,2.193,0.335979,,
84,,3.250,1.683,0.203,2.363,2.763,3.738,1.431,1.935,2.310,2.184,0.333326,,
84.5,,3.189,1.671,0.203,2.363,2.710,3.667,1.420,1.921,2.275,2.174,0.314708,,
85,,3.288,1.747,0.174,2.413,2.795,3.781,1.485,2.009,2.450,2.164,0.335979,,
85.5,,3.286,1.743,0.174,2.413,2.793,3.779,1.482,2.004,2.449,2.161,0.365226,,
86,,3.246,1.733,0.174,2.413,2.759,3.733,1.473,1.993,2.424,2.152,0.341301,,
86.5,,3.505,1.730,0.174,2.413,2.979,4.031,1.471,1.990,2.583,2.150,0.357251,,
87,,3.353,1.717,0.174,2.413,2.850,3.856,1.459,1.974,2.490,2.139,0.373201,,
87.5,,3.462,1.715,0.174,2.413,2.943,3.982,1.458,1.972,2.557,2.138,0.341301,,
88,,3.441,1.710,0.174,2.413,2.925,3.957,1.454,1.967,2.544,2.134,0.351929,,
88.5,,3.405,1.706,0.174,2.413,2.894,3.916,1.450,1.962,2.522,2.130,0.349276,,
89,,3.324,1.712,0.174,2.413,2.825,3.822,1.455,1.969,2.472,2.135,0.378522,,
89.5,,3.361,1.708,0.174,2.413,2.857,3.865,1.452,1.964,2.495,2.132,0.378522,,
90,,3.110,1.701,0.174,2.413,2.644,3.577,1.446,1.956,2.340,2.126,0.346622,,
90.5,,3.540,1.705,0.174,2.413,3.009,4.071,1.449,1.960,2.604,2.129,0.335979,,
91,,3.267,1.711,0.174,2.413,2.777,3.757,1.455,1.968,2.437,2.135,0.357251,,
91.5,,3.194,1.728,0.174,2.413,2.715,3.673,1.469,1.988,2.392,2.149,0.386497,,
92,,3.439,1.702,0.186,2.392,2.923,3.954,1.447,1.957,2.489,2.157,0.383844,,
92.5,,3.369,1.719,0.186,2.392,2.864,3.874,1.462,1.977,2.448,2.171,0.351929,,
93,,3.508,1.729,0.186,2.392,2.982,4.034,1.470,1.989,2.530,2.179,0.362572,,
