%     Depth,Temperature_,TC_m,RHOC_m,PHI,    RHOB,TC_m_min,TC_m_max,RHOC_m_miD,RHOC_m_max,    TC.log,      RHOC.log,       RHP,,
%         m,          °C,W/(mK),kJ/(m³K),n/n,g/cm³,    W/(mK),    W/(mK),kJ/(m³K),kJ/(m³K),    W/(mK),   kJ/(m³K),     µW/m³,,
0,9.790,5.532,1.686,0.225,2.279,4.702,6.362,1.433,1.939,3.361,2.241,0.052,,
0.5,9.790,5.532,1.686,0.225,2.279,4.702,6.362,1.433,1.939,3.361,2.241,0.038,,
1,9.790,5.468,1.739,0.225,2.279,4.648,6.288,1.478,2.000,3.331,2.281,0.064,,
1.5,9.790,5.394,1.748,0.225,2.279,4.585,6.203,1.486,2.011,3.296,2.289,0.082,,
2,9.790,5.630,1.870,0.225,2.279,4.786,6.475,1.589,2.150,3.407,2.383,0.090,,
2.5,9.790,5.618,1.721,0.225,2.279,4.776,6.461,1.463,1.979,3.402,2.268,0.036,,
3,9.790,5.737,1.711,0.225,2.279,4.876,6.597,1.454,1.967,3.457,2.259,0.012,,
3.5,9.787,5.686,1.691,0.225,2.279,4.833,6.539,1.437,1.944,3.433,2.244,0.010,,
4,9.790,5.597,1.693,0.225,2.279,4.757,6.436,1.439,1.947,3.391,2.246,0.024,,
4.5,9.790,5.520,1.761,0.225,2.279,4.692,6.348,1.497,2.025,3.355,2.298,0.069,,
5,9.800,5.498,1.731,0.225,2.279,4.674,6.323,1.472,1.991,3.345,2.276,0.063,,
5.5,9.800,5.611,1.798,0.225,2.279,4.769,6.452,1.529,2.068,3.398,2.327,0.067,,
6,9.810,5.740,1.712,0.225,2.279,4.879,6.601,1.455,1.969,3.459,2.260,0.011,,
6.5,9.820,5.742,1.694,0.225,2.279,4.881,6.604,1.440,1.948,3.460,2.246,0.005,,
7,9.830,5.624,1.666,0.225,2.279,4.780,6.467,1.416,1.916,3.404,2.225,0.011,,
7.5,9.840,5.540,1.769,0.225,2.279,4.709,6.371,1.503,2.034,3.365,2.305,0.063,,
8,9.850,5.587,1.768,0.225,2.279,4.749,6.425,1.503,2.033,3.387,2.304,0.061,,
8.5,9.860,5.580,1.745,0.225,2.279,4.743,6.417,1.483,2.007,3.384,2.286,0.048,,
9,9.870,5.628,1.706,0.225,2.279,4.784,6.472,1.450,1.962,3.406,2.256,0.030,,
9.5,9.880,5.630,1.726,0.225,2.279,4.786,6.475,1.467,1.985,3.407,2.271,0.038,,
10,9.890,5.542,1.710,0.225,2.279,4.711,6.373,1.453,1.966,3.366,2.259,0.039,,
10.5,9.900,5.556,1.735,0.225,2.279,4.723,6.390,1.475,1.996,3.372,2.279,0.050,,
11,9.910,5.546,1.751,0.225,2.279,4.714,6.378,1.489,2.014,3.368,2.291,0.057,,
11.5,9.920,5.501,1.732,0.225,2.279,4.675,6.326,1.472,1.992,3.346,2.276,0.060,,
12,9.930,5.571,1.782,0.225,2.279,4.736,6.407,1.515,2.049,3.380,2.315,0.066,,
12.5,9.940,5.577,1.744,0.225,2.279,4.740,6.413,1.482,2.005,3.382,2.285,0.050,,
13,9.950,5.555,1.735,0.225,2.279,4.722,6.388,1.475,1.995,3.372,2.278,0.051,,
13.5,9.960,5.501,1.752,0.225,2.279,4.675,6.326,1.490,2.015,3.346,2.292,0.065,,
14,9.970,5.559,1.777,0.225,2.279,4.725,6.393,1.510,2.043,3.374,2.311,0.070,,
14.5,9.980,5.663,1.779,0.225,2.279,4.814,6.513,1.512,2.046,3.423,2.313,0.051,,
15,9.990,5.587,1.728,0.225,2.279,4.749,6.425,1.469,1.987,3.387,2.273,0.047,,
15.5,9.990,5.649,1.753,0.225,2.279,4.802,6.496,1.490,2.016,3.416,2.293,0.045,,
16,10.010,5.565,1.700,0.225,2.279,4.730,6.400,1.445,1.955,3.376,2.251,0.034,,
16.5,10.020,5.602,1.754,0.225,2.279,4.762,6.442,1.491,2.017,3.394,2.293,0.053,,
17,10.020,5.591,1.730,0.225,2.279,4.752,6.430,1.470,1.989,3.389,2.274,0.043,,
17.5,10.030,5.636,1.748,0.225,2.279,4.790,6.481,1.486,2.010,3.410,2.288,0.045,,
18,10.040,5.511,1.757,0.225,2.279,4.685,6.338,1.493,2.021,3.351,2.295,0.068,,
18.5,10.050,5.518,1.760,0.225,2.279,4.690,6.346,1.496,2.024,3.354,2.298,0.067,,
19,10.060,5.574,1.783,0.225,2.279,4.738,6.410,1.515,2.050,3.381,2.315,0.064,,
19.5,10.080,5.458,1.735,0.225,2.279,4.639,6.277,1.475,1.995,3.326,2.278,0.070,,
20,10.080,5.381,1.743,0.225,2.279,4.574,6.188,1.482,2.004,3.290,2.285,0.084,,
20.5,10.090,5.492,1.832,0.225,2.279,4.668,6.316,1.557,2.107,3.342,2.354,0.098,,
21,10.100,5.447,1.771,0.225,2.279,4.630,6.264,1.505,2.037,3.321,2.306,0.082,,
21.5,10.110,5.335,1.744,0.225,2.279,4.534,6.135,1.482,2.005,3.268,2.285,0.089,,
22,10.120,5.401,1.836,0.225,2.279,4.591,6.211,1.560,2.111,3.299,2.356,0.112,,
22.5,10.130,5.338,1.852,0.225,2.279,4.537,6.139,1.574,2.130,3.269,2.369,0.132,,
23,10.140,5.455,1.838,0.225,2.279,4.637,6.273,1.562,2.113,3.325,2.358,0.111,,
23.5,10.150,5.403,1.752,0.225,2.279,4.592,6.213,1.489,2.015,3.300,2.292,0.085,,
24,10.160,5.463,1.863,0.225,2.279,4.643,6.282,1.583,2.142,3.328,2.377,0.117,,
24.5,10.170,5.541,1.790,0.225,2.279,4.710,6.372,1.521,2.058,3.365,2.321,0.075,,
25,10.180,5.448,1.711,0.225,2.279,4.631,6.266,1.454,1.967,3.322,2.260,0.063,,
25.5,10.190,5.185,1.741,0.225,2.279,4.407,5.963,1.480,2.002,3.196,2.283,0.114,,
26,10.200,5.230,1.871,0.225,2.279,4.446,6.015,1.590,2.151,3.218,2.384,0.155,,
26.5,10.210,5.342,1.876,0.225,2.279,4.541,6.144,1.595,2.158,3.271,2.388,0.139,,
27,10.220,5.284,1.828,0.225,2.279,4.491,6.077,1.554,2.102,3.244,2.350,0.135,,
27.5,10.230,5.199,1.790,0.225,2.279,4.419,5.979,1.522,2.059,3.203,2.321,0.133,,
28,10.240,5.228,1.847,0.225,2.279,4.444,6.012,1.570,2.124,3.217,2.365,0.150,,
28.5,10.250,5.105,1.836,0.225,2.279,4.339,5.870,1.561,2.111,3.158,2.357,0.163,,
29,10.260,5.182,1.895,0.225,2.279,4.404,5.959,1.610,2.179,3.195,2.402,0.175,,
29.5,10.270,5.043,1.785,0.225,2.279,4.286,5.799,1.517,2.053,3.128,2.317,0.161,,
30,10.290,5.120,1.866,0.225,2.279,4.352,5.887,1.586,2.146,3.165,2.380,0.176,,
30.5,10.300,5.107,1.860,0.225,2.279,4.341,5.873,1.581,2.139,3.159,2.375,0.172,,
31,10.310,5.082,1.848,0.225,2.279,4.320,5.844,1.571,2.126,3.147,2.366,0.177,,
31.5,10.320,5.047,1.765,0.225,2.279,4.290,5.804,1.500,2.030,3.130,2.302,0.145,,
32,10.330,5.246,1.972,0.225,2.279,4.459,6.033,1.676,2.268,3.226,2.462,0.188,,
32.5,10.350,5.228,1.825,0.225,2.279,4.444,6.012,1.551,2.099,3.217,2.348,0.139,,
33,10.360,5.115,1.818,0.225,2.279,4.348,5.883,1.546,2.091,3.163,2.343,0.161,,
33.5,10.370,5.416,2.003,0.225,2.279,4.603,6.228,1.702,2.303,3.306,2.486,0.170,,
34,10.380,5.172,1.694,0.225,2.279,4.396,5.948,1.440,1.948,3.190,2.247,0.102,,
34.5,10.390,4.807,1.907,0.225,2.279,4.086,5.528,1.621,2.193,3.014,2.411,0.242,,
35,10.400,4.819,1.963,0.225,2.279,4.096,5.541,1.669,2.258,3.020,2.455,0.258,,
35.5,10.410,4.860,1.984,0.225,2.279,4.131,5.589,1.687,2.282,3.040,2.471,0.253,,
36,10.420,5.051,1.928,0.225,2.279,4.293,5.809,1.639,2.217,3.132,2.428,0.207,,
36.5,10.430,4.844,1.782,0.225,2.279,4.117,5.571,1.515,2.049,3.032,2.315,0.190,,
37,10.440,4.754,1.905,0.225,2.279,4.041,5.467,1.619,2.191,2.989,2.410,0.251,,
37.5,10.453,5.045,1.950,0.225,2.279,4.288,5.801,1.657,2.242,3.129,2.445,0.212,,
38,10.460,5.052,1.905,0.225,2.279,4.294,5.810,1.619,2.190,3.133,2.410,0.196,,
38.5,10.470,4.868,1.817,0.225,2.279,4.138,5.598,1.544,2.089,3.044,2.342,0.198,,
