% Time,Step model 3 [temp.]
-120000,6.3
-119800,11.2
-119000,0.7
-117000,8.7
-114000,0.7
-107000,2.7
-104000,3.7
-100000,0.7
 -96000,-1.3
 -89000,1.2
 -86000,-2.3
 -84000,2.7
 -78000,-0.3
 -75700,-4.4
 -74100,2
 -72000,-10
 -70000,2
 -68000,-3.2
 -60000,-0.5
 -52000,1.5
 -49000,-1.8
 -44500,2
 -43000,-4
 -41000,0
 -40000,-2.8
 -36000,0.5
 -34000,-4
 -33000,0
 -32000,0
 -29000,-4.5
 -27000,-0.1
 -24000,-1.5
 -14000,4
  -3100,5.13
  -2200,5.68
  -1400,6.09
   -870,5.84
   -300,5.701
      0,5.701
