% DEPTH	TEMP
2.28	5.29
2.3	5.31
2.32	5.33
2.34	5.35
2.36	5.36
2.38	5.37
2.4	5.38
2.42	5.39
2.44	5.4
2.46	5.41
2.48	5.42
2.5	5.42
2.52	5.43
2.54	5.42
2.56	5.41
2.58	5.41
2.6	5.41
2.62	5.42
2.64	5.42
2.66	5.43
2.68	5.44
2.7	5.44
2.72	5.44
2.74	5.44
2.76	5.44
2.78	5.44
2.8	5.45
2.82	5.45
2.84	5.46
2.86	5.46
2.88	5.45
2.9	5.45
2.92	5.46
2.94	5.47
2.96	5.47
2.98	5.48
3	5.49
3.02	5.49
3.04	5.49
3.06	5.5
3.08	5.5
3.1	5.51
3.12	5.51
3.14	5.52
3.16	5.52
3.18	5.52
3.2	5.53
3.22	5.54
3.24	5.55
3.26	5.55
3.28	5.56
3.3	5.55
3.32	5.56
3.34	5.56
3.36	5.57
3.38	5.58
3.4	5.59
3.42	5.6
3.44	5.61
3.46	5.61
3.48	5.62
3.5	5.63
3.52	5.63
3.54	5.64
3.56	5.64
3.58	5.65
3.6	5.65
3.62	5.65
3.64	5.65
3.66	5.65
3.68	5.64
3.7	5.64
3.72	5.65
3.74	5.66
3.76	5.66
3.78	5.66
3.8	5.67
3.82	5.67
3.84	5.67
3.86	5.67
3.88	5.67
3.9	5.67
3.92	5.67
3.94	5.68
3.96	5.68
3.98	5.69
4	5.7
4.02	5.7
4.04	5.7
4.06	5.71
4.08	5.72
4.1	5.73
4.12	5.74
4.14	5.75
4.16	5.76
4.18	5.76
4.2	5.77
4.22	5.77
4.24	5.78
4.26	5.78
4.28	5.79
4.3	5.79
4.32	5.79
4.34	5.8
4.36	5.81
4.38	5.82
4.4	5.83
4.42	5.84
4.44	5.85
4.46	5.85
4.48	5.86
4.5	5.86
4.52	5.86
4.54	5.86
4.56	5.87
4.58	5.87
4.6	5.88
4.62	5.89
4.64	5.9
4.66	5.91
4.68	5.92
4.7	5.92
4.72	5.93
4.74	5.93
4.76	5.94
4.78	5.94
4.8	5.95
4.82	5.96
4.84	5.97
4.86	5.97
4.88	5.98
4.9	5.99
4.92	5.99
4.94	5.99
4.96	6
4.98	6.01
5	6.02
5.02	6.02
5.04	6.03
5.06	6.04
5.08	6.04
5.1	6.04
5.12	6.04
5.14	6.04
5.16	6.05
5.18	6.06
5.2	6.07
5.22	6.08
5.24	6.08
5.26	6.09
5.28	6.1
5.3	6.1
5.32	6.11
5.34	6.12
5.36	6.13
5.38	6.14
5.4	6.15
5.42	6.16
5.44	6.16
5.46	6.16
5.48	6.16
5.5	6.16
5.52	6.16
5.54	6.17
5.56	6.18
5.58	6.18
5.6	6.19
5.62	6.19
5.64	6.2
5.66	6.2
5.68	6.2
5.7	6.2
5.72	6.2
5.74	6.2
5.76	6.2
5.78	6.21
5.8	6.23
5.82	6.23
5.84	6.24
5.86	6.25
5.88	6.25
5.9	6.25
5.92	6.26
5.94	6.27
5.96	6.28
5.98	6.28
6	6.29
6.02	6.29
6.04	6.29
6.06	6.29
6.08	6.28
6.1	6.29
6.12	6.3
6.14	6.32
6.16	6.32
6.18	6.33
6.2	6.33
6.22	6.32
6.24	6.32
6.26	6.32
6.28	6.33
6.3	6.34
6.32	6.35
6.34	6.36
6.36	6.36
6.38	6.36
6.4	6.36
6.42	6.36
6.44	6.37
6.46	6.38
6.48	6.39
6.5	6.39
6.52	6.4
6.54	6.4
6.56	6.39
6.58	6.39
6.6	6.39
6.62	6.39
6.64	6.39
6.66	6.39
6.68	6.39
6.7	6.39
6.72	6.4
6.74	6.4
6.76	6.4
6.78	6.4
6.8	6.4
6.82	6.39
6.84	6.4
6.86	6.4
6.88	6.41
6.9	6.42
6.92	6.43
6.94	6.43
6.96	6.44
6.98	6.46
7	6.47
7.02	6.49
7.04	6.5
7.06	6.51
7.08	6.52
7.1	6.52
7.12	6.52
7.14	6.51
7.16	6.52
7.18	6.53
7.2	6.54
7.22	6.55
7.24	6.57
7.26	6.59
7.28	6.6
7.3	6.61
7.32	6.62
7.34	6.62
7.36	6.63
7.38	6.63
7.4	6.63
7.42	6.63
7.44	6.63
7.46	6.64
7.48	6.65
7.5	6.66
7.52	6.67
7.54	6.68
7.56	6.69
7.58	6.69
7.6	6.69
7.62	6.69
7.64	6.69
7.66	6.69
7.68	6.69
7.7	6.71
7.72	6.71
7.74	6.72
7.76	6.72
7.78	6.73
7.8	6.74
7.82	6.75
7.84	6.76
7.86	6.77
7.88	6.77
7.9	6.78
7.92	6.78
7.94	6.78
7.96	6.78
7.98	6.79
8	6.79
8.02	6.8
8.04	6.81
